final_path,source_index,source_file,description,status
wearable-base/swordsman-head.png,1,a_digital_illustration_features_an_ornate_winter_1_batch_1.png,剑姬白绒岁华礼帽,已命名/已转透明画布；人体锚点待实机校正
wearable-base/swordsman-body.png,4,a_semi_realistic_digital_illustration_features_a_d_24_batch_4.png,剑姬冰晶华年公主裙,已命名/已转透明画布；人体锚点待实机校正
wearable-base/swordsman-shoes.png,8,a_digital_illustration_in_a_semi_realistic_fantas_29_batch_9.png,剑姬踏雪珍珠短靴,已命名/已转透明画布；人体锚点待实机校正
wearable-base/swordsman-weapon.png,25,a_digital_illustration_of_an_ornate_ice_themed_kat_4_batch_2.png,剑姬霁雪长剑,已命名/已转透明画布；人体锚点待实机校正
wearable-base/witch-head.png,5,a_digital_illustration_in_a_refined_semi_realistic_27_batch_7.png,魔女白绒岁华礼帽,已命名/已转透明画布；人体锚点待实机校正
wearable-base/witch-body.png,11,a_digital_illustration_in_semi_realistic_fantasy_a_28_batch_8.png,魔女冰晶华年公主裙,已命名/已转透明画布；人体锚点待实机校正
wearable-base/witch-shoes.png,9,a_digital_illustration_features_a_pair_of_exquisit_21_batch_1.png,魔女踏雪珍珠短靴,已命名/已转透明画布；人体锚点待实机校正
wearable-base/witch-weapon.png,19,a_digital_illustration_in_a_polished_semi_realisti_9_batch_9.png,魔女凝星法杖,已命名/已转透明画布；人体锚点待实机校正
wearable-base/shaman-head.png,26,a_digital_illustration_in_a_fantasy_style_features_1_batch_1.png,灵巫白绒岁华礼帽,已命名/已转透明画布；人体锚点待实机校正
wearable-base/shaman-body.png,28,a_digital_illustration_in_fantasy_costume_design_s_2_batch_2.png,灵巫冰晶华年公主裙,已命名/已转透明画布；人体锚点待实机校正
wearable-base/shaman-shoes.png,17,a_digital_illustration_in_a_polished_semi_realist_3_batch_3.png,灵巫踏雪珍珠短靴,已命名/已转透明画布；人体锚点待实机校正
wearable-base/shaman-weapon.png,7,a_digital_illustration_in_a_refined_semi_realisti_22_batch_2.png,灵巫玉铃灵扇,已命名/已转透明画布；人体锚点待实机校正
wearable-base/catkin-head.png,35,a_digital_illustration_in_a_detailed_semi_realisti_1_batch_1.png,喵喵猫耳白绒岁华礼帽,已命名/已转透明画布；人体锚点待实机校正
wearable-base/catkin-body.png,29,a_digital_illustration_in_anime_style_features_a_c_3_batch_3.png,喵喵冰晶华年公主裙,已命名/已转透明画布；人体锚点待实机校正
wearable-base/catkin-shoes.png,33,a_pair_of_winter_themed_ankle_boots_designed_for_f_3_batch_3.png,喵喵踏雪猫爪短靴,已命名/已转透明画布；人体锚点待实机校正
wearable-base/catkin-weapon.png,24,a_digital_illustration_in_an_anime_style_for_a_mob_3_batch_1.png,喵喵银绒双爪,已命名/已转透明画布；人体锚点待实机校正
wearable-base/kenshi-head.png,38,a_digital_illustration_in_a_semi_realistic_anime_f_5_batch_5.png,樱酱白绒岁华礼帽,已命名/已转透明画布；人体锚点待实机校正
wearable-base/kenshi-body.png,37,a_digital_illustration_displays_an_elegant_kimono_6_batch_6.png,樱酱冰晶华年和风公主裙,已命名/已转透明画布；人体锚点待实机校正
wearable-base/kenshi-shoes.png,32,a_digital_illustration_in_a_semi_realistic_anime_f_7_batch_7.png,樱酱踏雪珍珠短靴,已命名/已转透明画布；人体锚点待实机校正
wearable-base/kenshi-weapon.png,34,a_digital_illustration_in_a_semi_realistic_anime_f_8_batch_8.png,樱酱初霁太刀,已命名/已转透明画布；人体锚点待实机校正
icon-base/head.png,16,a_digital_illustration_in_a_semi_realistic_fantas_1_batch_1.png,白绒岁华礼帽图标,已命名/已转透明图标画布
icon-base/body.png,13,a_digital_illustration_in_a_semi_realistic_fantas_2_batch_2.png,冰晶华年公主裙图标,已命名/已转透明图标画布
icon-base/shoes.png,17,a_digital_illustration_in_a_polished_semi_realist_3_batch_3.png,踏雪珍珠短靴图标,已命名/已转透明图标画布
icon-base/necklace.png,12,a_256x256_pixel_digital_illustration_showcases_a_p_4_batch_4.png,雪魄珍珠项链图标,已命名/已转透明图标画布
icon-base/bracelet.png,20,a_digital_illustration_in_a_polished_semi_realisti_5_batch_5.png,银霜流苏腕饰图标,已命名/已转透明图标画布
icon-base/ring.png,14,a_digital_illustration_in_a_semi_realistic_fantasy_6_batch_6.png,新岁冰心誓戒图标,已命名/已转透明图标画布
icon-base/belt.png,15,a_digital_illustration_in_a_polished_semi_realist_7_batch_7.png,瑞雪中国结腰封图标,已命名/已转透明图标画布
icon-base/weapon-swordsman.png,21,a_digital_illustration_in_a_semi_realistic_fantasy_8_batch_8.png,霁雪长剑图标,已命名/已转透明图标画布
icon-base/weapon-witch.png,19,a_digital_illustration_in_a_polished_semi_realisti_9_batch_9.png,凝星法杖图标,已命名/已转透明图标画布
icon-base/weapon-shaman.png,18,a_digital_illustration_in_polished_semi_realistic_10_batch_10.png,玉铃灵扇图标,已命名/已转透明图标画布
icon-base/weapon-catkin.png,23,a_2d_digital_illustration_in_fantasy_rpg_equipment_1_batch_1.png,银绒双爪图标,已命名/已转透明图标画布
icon-base/weapon-kenshi.png,22,a_digital_illustration_in_fantasy_art_style_featur_2_batch_2.png,初霁太刀图标,已命名/已转透明图标画布
